text,vader_sentiment,vader_sentiment_label,
 yay about breaking 200!,0.5707,Positive,
 bahah sadly I am not,-0.4215,Negative,
 i always have those for my Champions League parties  Tis awesome,0.8807,Positive,
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",0.7263,Positive,
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,0,Neutral,
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,0.5499,Positive,
might have to go back much earlier than expected. bye bye bay area,0,Neutral,
"Playin City of Villains, wishin my buddies were playin with me.....",-0.6597,Negative,
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",0.7964,Positive,
 riley hacked my twitter!  hahaha :],0.6588,Positive,
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,-0.4767,Negative,
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,0.659,Positive,
man im so sad school is ending  but then again high school might be better :O,-0.0888,Negative,
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",0.7096,Positive,
 you`re the absoute best,0.6369,Positive,
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,-0.3956,Negative,
My near daily exercise is starting to show results.,0,Neutral,
 Welcome!,0.5093,Positive,
Bout to hit pmark then make one of my final meals wit the housemates..,0,Neutral,
: you get to go home and i have to go to work,0,Neutral,
voted for  on CMT.com,0,Neutral,
"just got home from a nice party, just not tired yet",0.7849,Positive,
Now I have a sunburn,0,Neutral,
I have the Job  this is a nice day it can not be better,0.1012,Positive,
I wish I could go to #BEA this weekend.,0.4019,Positive,
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",0.4128,Positive,
 love your books,0.6369,Positive,
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,-0.126,Negative,
Im Slowing on My Tweets..Cuase I Lost My Phone,-0.3182,Negative,
 well thank your phone for me.,0.5574,Positive,
 why would they take a photo with stuffed animals?! that`s pretty funny,0.75,Positive,
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,-0.5838,Negative,
tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,0.4694,Positive,
 Happy Mothers Day,0.5719,Positive,
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,0,Neutral,
is dreaming of the weekend... awake!,0,Neutral,
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",-0.4019,Negative,
 yay but you missed naptime,-0.1531,Negative,
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",0.4404,Positive,
just set up a new computer again. 15min. I love Norton Ghost.,0.4404,Positive,
Ahhh my mommie got me new sheets for my bed  so comfy,0,Neutral,
_celeste  finally some sleep in silence,0,Neutral,
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,0.2996,Positive,
is pretty dang tired. but chambers class is for napping.,0.0387,Positive,
i have to poop...   is hogging the shitter,0,Neutral,
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,0.8327,Positive,
Happy muthath`s day to all moms!!! I salute you!,0.7067,Positive,
Hahaha! Alright  ..,0.7088,Positive,
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,0.9106,Positive,
 good to know   thanks,0.7003,Positive,
 what are you? flavor of the day?,0,Neutral,
weathers let me down this morning...ugh!...hada gd nite tho!,0,Neutral,
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,0,Neutral,
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",0.9231,Positive,
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,0.2838,Positive,
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,0.7717,Positive,
"hate working when its sunny,boohoo",-0.5719,Negative,
is ONLiNE  http://plurk.com/p/stjdg,0,Neutral,
bundy. in 3 days.!!!! warm weather here i come!,0.471,Positive,
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,-0.6093,Negative,
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,0,Neutral,
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,0.2905,Positive,
_chick haha. I completely agree,0.6997,Positive,
"If we don`t pack, she can`t leave, right?",-0.0516,Negative,
 ****  lol....where u headed to?,0,Neutral,
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,0.8834,Positive,
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",0.7983,Positive,
it`s nice to leave the office when the sun is still up,0.3818,Positive,
I will miss the soccer moms,-0.1531,Negative,
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",-0.3612,Negative,
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,0.7579,Positive,
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",0.6973,Positive,
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,0,Neutral,
looking forward to body works today,0,Neutral,
just watched yes man. bahaha. that movie is messed up,0.0772,Positive,
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,-0.4215,Negative,
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",-0.296,Negative,
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,0.8952,Positive,
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,0.3612,Positive,
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,-0.6037,Negative,
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,0.1511,Positive,
 woot!,0.4753,Positive,
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",0.659,Positive,
 ???    ?????? - http://bit.ly/nAcK2,0,Neutral,
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",0.68,Positive,
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,0.6114,Positive,
Must head back to the office,0,Neutral,
St joe is dirty.,-0.4404,Negative,
http://twitpic.com/4w67k - Camping at black butte lake,0,Neutral,
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",0,Neutral,
I hate my life,-0.5719,Negative,
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,-0.1531,Negative,
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,-0.8324,Negative,
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,-0.9044,Negative,
crying real tears,-0.6124,Negative,
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,0,Neutral,
 Panchito`s burfday party tonight... wish you were here kiddo!,0.69,Positive,
Back from town and my Mac crashed on me  but it`s better now,0.5927,Positive,
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,0,Neutral,
the best things in life are free  x,0.8176,Positive,
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,0.9081,Positive,
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,0.3818,Positive,
 that is a bummer,-0.3818,Negative,
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,-0.3147,Negative,
http://twitpic.com/665jw The racoons ate our bread!,0,Neutral,
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,0.7418,Positive,
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",-0.25,Negative,
No launch today. Teacher changed plans and we watched a stupid move about tesla,-0.6808,Negative,
  it`s very pleasant. i sooo rarely just have time to kill...,0.5563,Positive,
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,0.8164,Positive,
__O lol but tiz a good song,0.6956,Positive,
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,0,Neutral,
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",-0.0258,Negative,
 what causes the frustration buddy?,-0.4767,Negative,
_Wright THANK YOU! 'Return of the Mack' is THE jam!,0.5882,Positive,
Ready for this saddenning depressing dullful upsetting dreadful weekend.,-0.7269,Negative,
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,-0.4912,Negative,
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",0.128,Positive,
going to bed  cant take thiss any longeerr maan. [U],0,Neutral,
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,0.7345,Positive,
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,0.4549,Positive,
Spent the last hour signing yearbooks. I`ll miss you guys!,-0.2244,Negative,
And I just love every little thing about you...,0.6369,Positive,
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,-0.2263,Negative,
" Hi Simon, let me know when it`s done",0,Neutral,
Had an amazing night with my favorite lady friend,0.875,Positive,
_Oyler Poor little woman with her smushed in head,-0.4767,Negative,
is fixin to clean the house for my mom for mother`s day,0.4019,Positive,
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",0.6996,Positive,
 Hey! That`s my school! I hate that place.,-0.6467,Negative,
 i did i only got 3 stars on the pre wash then failed the rince,-0.5106,Negative,
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,-0.4968,Negative,
 follow me too,0,Neutral,
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,0,Neutral,
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,0.7248,Positive,
", goodnight",0,Neutral,
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",-0.5242,Negative,
" but i do emily ahahha you scare me, so it would work",-0.6486,Negative,
Now I need to change my monitor,0,Neutral,
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",0.5473,Positive,
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0,Neutral,
should not have waled past the Quad! I want to be outside having fun.,0.5983,Positive,
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",0.5473,Positive,
i think the food i ate made me sick.. i no feel so good,0.2484,Positive,
 eagerly anticipating twitpics,0.3818,Positive,
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",0,Neutral,
Just wants to stay in bed all day but has to go to work instead  sux,-0.5023,Negative,
chillen trying to figure this thing out gettin drunk,-0.34,Negative,
yay doctors  now interview then back 2 the doctor`s for blood work,0.5267,Positive,
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,0.4939,Positive,
I`m siiiiiickkk  I dun feel good!!,0.5399,Positive,
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,0,Neutral,
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,0.8074,Positive,
_89 I feel so sorry for her  hope she dnt cry 2nd time,-0.2362,Negative,
would wish the severe migrains would stop!!! doc`s prescriptions arent working,-0.4545,Negative,
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",0.9335,Positive,
My Life Would Suck Without You - Kelly Clarkson,-0.4404,Negative,
revising for exams,0,Neutral,
" you should so host the next logies, i only laughed at your bit really",0.4588,Positive,
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,0.1779,Positive,
__joy i feel like red lea now,0.3612,Positive,
 I`d love to but I think the trek from London would be a bit too much,0.3818,Positive,
 hey hey,0,Neutral,
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,-0.5216,Negative,
Is miserable  i feel like im gona cry  sux!,-0.7644,Negative,
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,0.7096,Positive,
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",0.7668,Positive,
" lol, get watching it again  hehe",0.4215,Positive,
 Hope you did great - you certainly spent enough time studying.,0.8555,Positive,
 btw - downloaded iphone 3.0 sdk,0,Neutral,
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,-0.0941,Negative,
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",-0.902,Negative,
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",-0.4871,Negative,
Morning all! Have a GREAT DAY! Off to school I go,0.7519,Positive,
"now, in a weird mood  muahaz",-0.1779,Negative,
 congrats! Photo of dre?,0.5707,Positive,
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",0.4926,Positive,
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",-0.1779,Negative,
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,0.743,Positive,
" Oh, and a very good review",0.4927,Positive,
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,0,Neutral,
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,0.3612,Positive,
 its hilarious,0.4019,Positive,
 I love the guy that was standing behind me,0.6369,Positive,
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,0.6114,Positive,
lost my DC hat ..,-0.3182,Negative,
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,0,Neutral,
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",0.4019,Positive,
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",0.4215,Positive,
Browsing  find everything about university & interior design.,0,Neutral,
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,0.9137,Positive,
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,0,Neutral,
 I am soo excited about your pasadena seminar...if only i can find the confermation email,0.34,Positive,
Ugh I don`t feel well again all of a sudden,-0.1779,Negative,
I want a new phone  I`ve seen too much cellphone commercials (,0.0772,Positive,
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,-0.296,Negative,
 http://twitpic.com/4vuuy - That`s so cool.,0.4572,Positive,
school. 39 days !!! so exited. Amazing premier ,0.7144,Positive,
  tis very useful indeed esp. for newbies like me!,0.7171,Positive,
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,0,Neutral,
 it was just the handle tg,0,Neutral,
backe backe... MUFFINS!!!,0,Neutral,
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,0.9042,Positive,
lasttt mondayyy of classs,0,Neutral,
 yup!  Now I can join in on the nin access fun!,0.7256,Positive,
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",0,Neutral,
 unfair  I wanna go too.,-0.4767,Negative,
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,0.8225,Positive,
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,-0.7633,Negative,
" Aww, that`s sad.  I miss seeing you guys on the big screen.",-0.5719,Negative,
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,0,Neutral,
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",-0.3558,Negative,
 Thank you so much phaoloo !!!!,0.5673,Positive,
 the hotel should be thankful,0.5719,Positive,
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",-0.6696,Negative,
 rofl that`s what we like to hear,0.7351,Positive,
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",-0.296,Negative,
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,-0.5759,Negative,
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,0.5972,Positive,
"Change of plans, working inside bar tonight",0,Neutral,
 thanks for following,0.4404,Positive,
" Well, good luck then.",0.7906,Positive,
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,-0.6908,Negative,
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,0,Neutral,
Undervote is just going on  I`m all overalled up,0,Neutral,
making german apple slice  nom nom nom,0,Neutral,
Looks like its another night at the office lol,0.6486,Positive,
My tummy hurts,-0.4767,Negative,
Got about 2 hours sleep.,0,Neutral,
Anybody else experiencing painful slowdowns with facebook?,-0.4404,Negative,
Lol..2 people in falcon..and boo one of them being becca,0,Neutral,
i really need to earn money... so that i can watch the PCD concert,0,Neutral,
The poor Pirate had out his last wisdom tooth and is looking really peaky.,0.0772,Positive,
Mozzer cancelled tonight by the looks of it.,-0.25,Negative,
"waiting for aaron to get into town, and then leave him for work. booo",-0.0516,Negative,
morning tweat tweat twitter,0,Neutral,
Headed home ... Charlie`s at the vet,0,Neutral,
i wanna b maliks from taking the stage,0,Neutral,
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],0.7675,Positive,
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",-0.6305,Negative,
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,0.6886,Positive,
about to go to leeds shopping,0,Neutral,
" Sadly, I can`t view that site due to region restrictions",-0.4215,Negative,
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",0,Neutral,
Aly & AJ new album this summer. YAY!,0.6625,Positive,
_day26 ~ Awwwww have fun with the fam boo boo,0.5106,Positive,
@ lovelytrinkets I like the way you worded that about Rocky Road,0.3612,Positive,
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,0.2023,Positive,
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,0.5621,Positive,
I have nothing witty to say,0,Neutral,
 me too.,0,Neutral,
Hi ho  hi ho it`s off to work we go,0,Neutral,
 Thanks for the hint.  http://tinyurl.com/chtx7e.,0.4404,Positive,
" u welcome babe, kill the show! Yuuupp!",-0.508,Negative,
" Hey, Candis.",0,Neutral,
 I was never a good stereotypical teen,-0.3412,Negative,
I love my Maitu. N she loves me. Happy mothers day mama!,0.9168,Positive,
 i am so sorry,-0.1513,Negative,
i want to go to singapore but my mother seems not,0.0387,Positive,
JB on the front of factor x!!!!! wooh contest timeee,0,Neutral,
 so u aren`t going to be in Chicago,0,Neutral,
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,0.3612,Positive,
So tired.,-0.4927,Negative,
had a lovely breakfast with mum...yummy pancakes,0.5859,Positive,
 Yay! have fun,0.7901,Positive,
 Why thank you... Us Mami`s are bringin` sexy back...,0.7096,Positive,
 lucky! that`s awesome,0.8016,Positive,
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",0.3382,Positive,
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",-0.296,Negative,
Oh is that time for real?,0,Neutral,
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,-0.6627,Negative,
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",0.8655,Positive,
I misses my bed  so sleepy!,-0.2942,Negative,
